"","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow","Location_Canberra","Location_Adelaide","Location_Melbourne","Location_Sydney","Season_fall","Season_spring","Season_winter","Season_summer","WindGustDir_NNW","WindGustDir_SW","WindGustDir_SSW","WindGustDir_N","WindGustDir_WNW","WindGustDir_WSW","WindGustDir_ENE","WindGustDir_SE","WindGustDir_ESE","WindGustDir_W","WindGustDir_S","WindGustDir_NW","WindGustDir_NE","WindGustDir_E","WindGustDir_SSE","WindGustDir_NNE","WindDir9am_SE","WindDir9am_S","WindDir9am_N","WindDir9am_NE","WindDir9am_NW","WindDir9am_ESE","WindDir9am_SW","WindDir9am_W","WindDir9am_WSW","WindDir9am_SSW","WindDir9am_NNE","WindDir9am_WNW","WindDir9am_E","WindDir9am_NNW","WindDir9am_SSE","WindDir9am_ENE","WindDir3pm_NW","WindDir3pm_SW","WindDir3pm_SSE","WindDir3pm_WSW","WindDir3pm_N","WindDir3pm_WNW","WindDir3pm_ESE","WindDir3pm_SE","WindDir3pm_W","WindDir3pm_S","WindDir3pm_NNW","WindDir3pm_SSW","WindDir3pm_NNE","WindDir3pm_ENE","WindDir3pm_E","WindDir3pm_NE"
"11",10.3,15.8,57.8,0.4,0.5,33,"SW","SW",20,13,73,58,1025.2,1024.1,7,7,12.7,14.6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",12.7,20.5,0,5.4,9.4,33,"SW","SE",13,13,65,45,1027.2,1025.8,6,3,14.5,19.4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"13",8.6,17.4,0.8,4.2,0.7,78,"W","SSE",28,39,85,74,1014.2,1015.8,6,7,9.1,16.2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",12.7,27.7,0,6.2,13.6,41,"WSW","W",7,17,53,31,1020.8,1016.6,0,1,17.8,26.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"15",11.2,20.3,0,6.2,10.6,46,"W","WSW",17,22,48,30,1018.4,1017,1,1,14,19.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"16",13.9,23.2,0,5.7,7.6,35,"SSW","WSW",9,17,51,36,1021.8,1020.3,2,5,17.3,22.4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",10,17.7,0,3.2,2.9,69,"NNE","N",19,9,32,80,1003.9,999.4,8,1,15.1,12.9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"18",13.6,30.4,0,7.4,12.5,46,"WSW","S",9,26,58,47,1020.3,1014.4,0,1,17.3,25.3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"19",11.1,15.9,0.2,3.8,5.2,46,"W","SSE",22,20,70,49,1018.2,1020,3,5,12.2,14.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",17.7,29,0,2.4,7.6,26,"SSW","ESE",2,9,75,50,1019,1015.1,8,8,18.6,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"21",15.3,24.2,0,2,2,30,"W","N",7,17,72,57,1017.9,1014.3,7,7,18.7,23.9,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"22",13.6,17.1,13.2,9,0.8,41,"SSW","S",22,20,91,58,1016.9,1017.8,8,8,14.4,17,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23",15.9,27.3,0.4,4.2,5.7,33,"N","NNW",9,11,85,41,1013.4,1011.1,3,4,18,26.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"24",14.5,17.8,8.2,6.8,1.5,48,"SW","SSW",35,17,93,71,1008.6,1009.1,8,8,15.5,15.4,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",1.2,14.5,0,1.2,8.9,17,"SE","SSW",6,6,74,43,1026.7,1023.5,0,1,6.5,13.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"26",15.6,22,5.2,2.4,3.6,24,"WNW","ESE",15,6,90,73,1026.7,1024.3,6,3,16.7,20.7,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27",14.7,24.9,0,8,6.8,37,"SSW","WSW",9,20,63,46,1022.2,1021.4,7,8,19.8,24.4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28",20.1,27.3,0.2,6.8,9.1,44,"SW","WSW",9,15,76,46,1013.2,1013.1,1,1,20.5,25.9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"29",14.8,21.4,0,5,8.9,35,"SE","S",13,15,67,59,1021.9,1020.3,8,6,15.9,20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"30",15.8,33.3,0,20,8.6,24,"SW","W",6,15,44,18,1013.3,1009.7,2,8,22.2,32.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"31",9.7,26.7,0,4.2,6.8,37,"SW","NNE",4,13,74,40,1018.4,1012.4,8,8,16.6,23.7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"32",9.5,20.7,0,5.6,10.6,31,"E","WSW",9,20,47,34,1032.5,1028.8,7,7,12.9,18.6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"33",7.9,17.5,0,2.6,8.9,33,"WNW","SSE",19,24,63,44,1024.7,1022.5,5,1,11,16.3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1.4,16.8,0,2,8.5,26,"SW","NW",2,15,81,44,1022.8,1018.7,1,6,7.5,15.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",19.6,28.5,0.2,7.6,12.7,43,"W","ENE",11,22,68,46,1016.7,1012.9,2,1,23.2,27.6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"36",19.1,27.2,0,6.6,11.4,31,"WNW","E",7,24,64,65,1014.6,1011.8,3,4,23.2,24.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"37",-2,18.5,0,3.6,8.6,28,"SSW","NNW",11,9,74,33,1026.5,1022.4,4,5,8.6,18.2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"38",-6.8,14.5,5.8,2.4,8.6,48,"NNE","S",7,24,71,34,1023.5,1021.6,1,4,2,12.7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"39",12.4,30.5,0,4.8,11.3,41,"NE","NW",6,15,69,36,1014.4,1011.3,3,3,19.7,29.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",10.5,19.6,0.8,0.2,8.5,30,"W","WNW",17,9,94,54,1021,1017.6,3,6,11.3,18.4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"41",15.3,19.8,0,9.2,5.3,30,"ESE","E",13,15,51,47,1025.5,1024.3,7,8,17,19.1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"42",21.9,32.8,0,8.4,12.2,44,"NE","E",7,17,62,45,1012.4,1009.3,0,0,26.1,32.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"43",8.4,16.9,0,4.2,5.7,76,"NNW","NW",30,56,62,42,1013.2,1006.8,6,3,11.5,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",14.8,22,33.8,4.2,1.5,50,"W","ESE",19,24,90,49,1028.4,1026.3,8,7,15.7,21.8,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"45",12.4,24.2,0,2.4,9.7,26,"NNE","SSW",9,13,54,42,1020.3,1015.8,7,7,19,23,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"46",1.6,24.8,0,8,6.8,50,"N","NW",4,33,74,34,1019.2,1014.9,3,1,10.6,23.1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",20.4,26.2,0,2.4,9.8,30,"SW","WSW",9,13,70,51,1013.8,1012.4,1,7,21.4,26,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"48",16.8,26.5,0,3,8.6,24,"WNW","NE",13,17,88,56,1016,1013.6,8,6,18.6,25.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"49",14.2,30.6,0,9.6,7.1,63,"N","NNW",37,37,27,14,1019.4,1015.1,7,5,20.5,29.5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"50",15.5,25.9,21.4,2.2,9.7,31,"W","ESE",13,19,76,54,1010.5,1005.7,4,4,19.9,25.6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"51",8.3,14.2,2.4,0.2,0.2,30,"W","WSW",15,6,87,87,1026.2,1023.4,1,5,10,13.6,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"52",5.4,14.2,0,1,9.2,19,"ESE","NNW",7,9,49,36,1033.9,1029.8,5,8,10.7,13.7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"53",9.7,25.4,0,2.4,9.2,50,"NNE","N",13,17,48,37,1013.7,1009.7,1,5,19.9,24.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"54",10.4,19.7,0,3,8.1,33,"S","ESE",15,11,63,48,1020.5,1019.9,5,7,13.6,18.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"55",13.1,17.9,0,5.8,7.9,78,"N","N",31,43,55,51,1000.5,998.7,2,6,14.5,16,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"56",9.8,20.8,0,4.6,10,35,"W","ESE",22,9,75,52,1019.5,1015.2,5,7,12,19.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"57",3.2,15.8,0,2.4,4.9,33,"SSE","E",11,13,78,45,1037.7,1035.9,8,2,9.6,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"58",12.4,32.1,0,8.4,11.1,46,"SE","WSW",7,9,70,22,1017.9,1012.8,0,3,19.1,30.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"59",7.8,15.3,1,5.7,5.7,20,"ENE","WSW",7,9,78,57,1027.3,1026.3,0,0,11.7,14.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60",12.7,35.1,0,5.7,8.6,44,"NNE","W",7,26,57,21,1020.7,1016.3,1,1,22.1,34.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"61",6.3,14.6,0,4.2,5,54,"N","NNW",17,28,66,44,1019.3,1015.4,1,1,8.9,14,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"62",7.4,16.3,0,1.4,8.1,35,"NE","ENE",17,17,55,44,1031.6,1027.2,7,4,11.3,16.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"63",14.5,31.3,0,18.2,13.3,28,"SSE","WSW",6,15,53,31,1021.1,1018,7,7,21.5,29.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"64",0.9,25.2,0,2.4,5.7,33,"SSW","ESE",2,17,75,31,1032.5,1029.6,1,1,10.7,24.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"65",4.9,13,0,0.8,0.1,56,"NE","NNE",17,19,51,45,1017.9,1010.3,8,7,10.5,12.5,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"66",20.5,26.9,28.2,2.8,6.3,72,"WSW","SE",24,9,87,68,1001.4,1004,8,4,20.5,23.3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"67",10.8,21.2,0,5.2,7.8,93,"N","NNE",41,41,53,38,1021.7,1014.6,4,6,16,20.7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",7.7,33.3,0,8,5.7,50,"SE","NNW",11,20,43,18,1019.2,1015.1,7,7,20.5,31.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"69",15.3,23.6,0,5,10.7,43,"NNE","NE",17,24,58,59,1025.9,1020.5,1,1,20.7,21.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"70",5.1,17.2,0,1,2.3,41,"NNE","N",9,22,76,47,1035.4,1031.4,7,6,8.6,16.5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"71",19.6,28,0,8.8,7,74,"ENE","E",9,9,78,57,1010.2,1007.4,7,8,22.6,26.1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
