"","Date","Season","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"46",2012-10-28,"spring","Sydney",15.3,19.8,0,9.2,5.3,"SSE",30,"ESE","E",13,15,51,47,1025.5,1024.3,7,8,17,19.1,0,0
"47",2016-02-25,"summer","Sydney",21.9,32.8,0,8.4,12.2,"NNE",44,"NE","E",7,17,62,45,1012.4,1009.3,0,0,26.1,32.2,0,0
"48",2014-07-31,"winter","Canberra",8.4,16.9,0,4.2,5.7,"NW",76,"NNW","NW",30,56,62,42,1013.2,1006.8,6,3,11.5,16,0,0
"49",2017-04-03,"fall","Sydney",14.8,22,33.8,4.2,1.5,"SSE",50,"W","ESE",19,24,90,49,1028.4,1026.3,8,7,15.7,21.8,1,1
"50",2012-04-01,"fall","Adelaide",12.4,24.2,0,2.4,9.7,"SW",26,"NNE","SSW",9,13,54,42,1020.3,1015.8,7,7,19,23,0,0
"52",2013-10-09,"spring","Canberra",1.6,24.8,0,8,6.8,"NNW",50,"N","NW",4,33,74,34,1019.2,1014.9,3,1,10.6,23.1,0,0
"53",2010-02-21,"summer","Adelaide",20.4,26.2,0,2.4,9.8,"SW",30,"SW","WSW",9,13,70,51,1013.8,1012.4,1,7,21.4,26,0,0
"54",2012-04-03,"fall","Sydney",16.8,26.5,0,3,8.6,"W",24,"WNW","NE",13,17,88,56,1016,1013.6,8,6,18.6,25.6,0,0
"55",2008-10-12,"spring","Melbourne",14.2,30.6,0,9.6,7.1,"N",63,"N","NNW",37,37,27,14,1019.4,1015.1,7,5,20.5,29.5,0,0
"56",2015-04-05,"fall","Sydney",15.5,25.9,21.4,2.2,9.7,"W",31,"W","ESE",13,19,76,54,1010.5,1005.7,4,4,19.9,25.6,1,0
"57",2012-06-10,"winter","Sydney",8.3,14.2,2.4,0.2,0.2,"SE",30,"W","WSW",15,6,87,87,1026.2,1023.4,1,5,10,13.6,1,1
"58",2008-07-23,"winter","Adelaide",5.4,14.2,0,1,9.2,"ENE",19,"ESE","NNW",7,9,49,36,1033.9,1029.8,5,8,10.7,13.7,0,0
"59",2013-09-21,"spring","Adelaide",9.7,25.4,0,2.4,9.2,"WSW",50,"NNE","N",13,17,48,37,1013.7,1009.7,1,5,19.9,24.2,0,0
"60",2011-03-26,"fall","Canberra",10.4,19.7,0,3,8.1,"SE",33,"S","ESE",15,11,63,48,1020.5,1019.9,5,7,13.6,18.4,0,0
"61",2012-08-23,"winter","Melbourne",13.1,17.9,0,5.8,7.9,"N",78,"N","N",31,43,55,51,1000.5,998.7,2,6,14.5,16,0,1
"62",2011-05-07,"fall","Sydney",9.8,20.8,0,4.6,10,"W",35,"W","ESE",22,9,75,52,1019.5,1015.2,5,7,12,19.6,0,0
"63",2011-08-21,"winter","Canberra",3.2,15.8,0,2.4,4.9,"ENE",33,"SSE","E",11,13,78,45,1037.7,1035.9,8,2,9.6,15,0,0
"64",2007-11-16,"spring","Canberra",12.4,32.1,0,8.4,11.1,"E",46,"SE","WSW",7,9,70,22,1017.9,1012.8,0,3,19.1,30.7,0,0
"65",2010-08-28,"winter","Adelaide",7.8,15.3,1,5.7,5.7,"W",20,"ENE","WSW",7,9,78,57,1027.3,1026.3,0,0,11.7,14.5,0,0
"66",2013-12-19,"summer","Canberra",12.7,35.1,0,5.7,8.6,"WNW",44,"NNE","W",7,26,57,21,1020.7,1016.3,1,1,22.1,34.3,0,0
"67",2010-06-28,"winter","Adelaide",6.3,14.6,0,4.2,5,"NNW",54,"N","NNW",17,28,66,44,1019.3,1015.4,1,1,8.9,14,0,1
"68",2010-07-27,"winter","Adelaide",7.4,16.3,0,1.4,8.1,"ENE",35,"NE","ENE",17,17,55,44,1031.6,1027.2,7,4,11.3,16.2,0,0
"69",2009-12-14,"summer","Adelaide",14.5,31.3,0,18.2,13.3,"ESE",28,"SSE","WSW",6,15,53,31,1021.1,1018,7,7,21.5,29.2,0,0
"70",2013-09-02,"spring","Canberra",0.9,25.2,0,2.4,5.7,"ENE",33,"SSW","ESE",2,17,75,31,1032.5,1029.6,1,1,10.7,24.6,0,0
"71",2008-07-29,"winter","Adelaide",4.9,13,0,0.8,0.1,"NNW",56,"NE","NNE",17,19,51,45,1017.9,1010.3,8,7,10.5,12.5,0,1
"72",2011-01-14,"summer","Melbourne",20.5,26.9,28.2,2.8,6.3,"N",72,"WSW","SE",24,9,87,68,1001.4,1004,8,4,20.5,23.3,1,1
"73",2014-09-08,"spring","Melbourne",10.8,21.2,0,5.2,7.8,"N",93,"N","NNE",41,41,53,38,1021.7,1014.6,4,6,16,20.7,0,0
"75",2014-11-09,"spring","Canberra",7.7,33.3,0,8,5.7,"WNW",50,"SE","NNW",11,20,43,18,1019.2,1015.1,7,7,20.5,31.6,0,0
"76",2015-09-14,"spring","Sydney",15.3,23.6,0,5,10.7,"NE",43,"NNE","NE",17,24,58,59,1025.9,1020.5,1,1,20.7,21.4,0,0
"78",2010-06-23,"winter","Melbourne",5.1,17.2,0,1,2.3,"N",41,"NNE","N",9,22,76,47,1035.4,1031.4,7,6,8.6,16.5,0,0
"80",2011-11-20,"spring","Sydney",19.6,28,0,8.8,7,"W",74,"ENE","E",9,9,78,57,1010.2,1007.4,7,8,22.6,26.1,0,1
"81",2016-06-26,"winter","Sydney",5.6,15.3,0,3.6,5.2,"W",39,"W","W",20,7,61,45,1021.1,1017,6,7,7.4,13.7,0,0
"82",2012-09-20,"spring","Melbourne",11.6,22.4,0.4,2,3.8,"NNE",59,"NNE","NNE",24,41,81,44,1014.7,1005.9,7,7,13.3,21.7,0,0
"84",2009-09-16,"spring","Adelaide",16.3,26.2,0.2,5,1.9,"NNE",50,"NE","NE",7,11,42,62,1013.3,1009.8,8,8,19.8,19.4,0,1
"85",2011-08-11,"winter","Sydney",7.3,18.5,0,2.4,6.7,"W",33,"W","S",15,13,58,47,1008.5,1008.2,1,1,11.5,16.9,0,1
"86",2013-06-27,"winter","Canberra",0.3,15.4,0,4.2,7.6,"NNE",24,"ESE","ENE",9,7,88,66,1025.7,1022.2,5,1,7.2,13.7,0,0
"87",2016-09-26,"spring","Adelaide",8.3,17.6,0,4.2,7.6,"WSW",43,"N","WSW",11,20,44,50,1012.6,1012.1,1,1,13.9,15.4,0,0
"88",2013-07-28,"winter","Adelaide",14.3,20.8,0,5.7,7.3,"NW",56,"NE","NW",13,22,49,52,1011.1,1012.6,2,8,17.4,18.3,0,0
"89",2013-05-02,"fall","Adelaide",8.8,21.2,0,2.8,9.9,"NE",35,"NE","N",22,19,45,22,1026.4,1021.9,0,0,14.1,20.8,0,0
"90",2014-03-07,"fall","Sydney",19.3,26.9,0.2,5.2,7.5,"NNE",31,"WNW","E",13,20,69,64,1020.3,1018.7,4,5,23,25.7,0,0
"91",2012-07-15,"winter","Sydney",9,18.2,0,5,10,"WSW",46,"WNW","WSW",9,17,52,33,1016.9,1016.9,1,1,12.2,17.8,0,0
"92",2012-01-12,"summer","Melbourne",12.5,21.5,2.6,7.4,4.6,"SSE",41,"SW","S",22,24,66,53,1020.3,1019.5,8,7,14.3,20.5,1,0
"94",2012-03-10,"fall","Melbourne",15.6,21.9,0,5,6.3,"SSE",37,"SW","S",13,22,53,42,1016.9,1018.1,7,2,17.3,20.9,0,0
"95",2009-05-21,"fall","Canberra",7.4,16.3,0,1.2,3.7,"E",46,"SE","ESE",13,24,71,47,1026.9,1024.4,7,7,12.9,15.9,0,0
"96",2014-08-07,"winter","Sydney",9.6,20.4,0,4.6,6.8,"W",41,"W","SE",28,13,53,36,1029.6,1027.5,6,1,11.4,18.8,0,0
"97",2009-06-25,"winter","Adelaide",10.2,16.1,0,1,3.2,"NE",30,"ENE","NNW",9,11,83,62,1013.2,1009.5,3,3,12.1,15.5,0,1
"98",2011-03-20,"fall","Sydney",18.8,23.5,99.4,4.2,3.3,"E",59,"ESE","ESE",22,39,92,81,1012.4,1010.1,0,0,19.4,22.2,1,1
"99",2014-07-17,"winter","Canberra",6.1,10.9,0.2,8,8.6,"NNW",54,"NNW","WNW",26,31,80,59,1012.3,1010.4,3,4,8.8,8.5,0,0
"100",2016-01-16,"summer","Canberra",5.5,23.1,0,4.2,5.7,"E",44,"SSE","E",15,22,59,38,1026.7,1024.5,8,5,15.1,21.3,0,0
"101",2010-01-04,"summer","Melbourne",13.4,27.6,0,5.2,13.8,"SSE",33,"SE","SSE",9,9,57,42,1018.7,1014.9,1,4,17.5,25.4,0,0
"103",2015-04-09,"fall","Canberra",7.6,18.9,0,4.2,6.8,"S",50,"S","SSE",35,22,54,42,1022.5,1020.8,6,6,14.5,17.9,0,0
"104",2015-09-02,"spring","Adelaide",10.6,14,8.4,8,7.6,"N",39,"N","NNE",19,11,72,92,1005.7,1001.1,7,6,12.4,11.2,1,1
"105",2015-01-26,"summer","Canberra",13.7,21.9,0,8,6.8,"E",43,"E","ENE",15,24,73,58,1012.7,1011.3,8,8,16.5,20.5,0,0
"107",2014-04-19,"fall","Adelaide",9,19.6,0,8,5.3,"W",26,"N","WSW",7,17,66,43,1023.5,1019.1,5,5,13.8,19,0,0
"108",2010-04-17,"fall","Melbourne",13.6,27.3,0,5.2,10.2,"N",44,"N","N",20,28,64,26,1025.7,1022.2,2,5,17,26.9,0,0
"110",2013-03-28,"fall","Sydney",21.5,33.5,0,7,7.3,"W",37,"E","E",2,11,71,34,1016.8,1012.1,1,7,23.4,30.9,0,1
"111",2015-01-02,"summer","Adelaide",23.2,44.1,0,5.7,6.8,"NW",41,"N","NW",17,20,12,10,1009.4,1006.7,8,8,34.9,42.8,0,0
"112",2008-09-24,"spring","Canberra",2.4,17.3,0,2.2,11.3,"E",31,"SSE","SW",4,6,67,33,1030.5,1027.7,1,1,10.7,16.5,0,0
"115",2015-01-04,"summer","Melbourne",16.4,23.9,5.4,16.8,7.8,"N",70,"S","SSE",20,20,82,48,1017.9,1017.7,4,5,16.8,21.8,1,0
"117",2017-04-13,"fall","Canberra",4.7,19.7,0.2,8,8.6,"NNW",22,"SW","NW",4,11,79,57,1025.1,1021,5,4,12.2,18.7,0,0
"118",2015-08-15,"winter","Adelaide",10.9,14.5,1.4,5.7,8.6,"W",15,"N","SW",7,7,92,81,1033,1031.2,8,7,12.2,13.4,1,0
"119",2009-07-01,"winter","Melbourne",10.9,15.6,2.6,4.2,6.9,"WNW",65,"NNW","NW",35,39,67,47,998.7,998.1,6,7,12.2,15.4,1,0
"120",2012-04-09,"fall","Canberra",0.9,18.1,0,4.6,9,"W",52,"NW","W",20,31,54,39,1016.3,1014.7,2,7,13.5,16.2,0,0
"121",2011-09-25,"spring","Melbourne",8.9,19.7,0,3.2,11,"SSE",37,"SE","SSE",13,19,61,34,1024.7,1021.8,7,7,12.3,19.2,0,0
"122",2009-05-05,"fall","Canberra",4.6,18.1,0,2.2,8.8,"NNW",20,"SSE","N",6,9,72,43,1032.8,1028.8,7,3,9.4,17.7,0,0
"123",2008-12-09,"summer","Canberra",9.3,28.9,0,8,8.1,"NNW",54,"NNW","WNW",11,28,61,9,1010.1,1005.1,6,7,18.1,27.7,0,0
"124",2015-08-30,"winter","Sydney",8.3,18.7,0,3.6,10.8,"SSW",39,"WNW","S",20,22,52,44,1020.3,1017.5,1,3,12.1,18.1,0,0
"125",2010-12-29,"summer","Canberra",7.8,28.7,0,5.2,12.2,"NNW",41,"NW","WNW",6,24,74,36,1017.4,1013.2,5,3,16.4,27.8,0,0
"126",2016-08-10,"winter","Adelaide",9.1,15,3.6,2.4,8.6,"NW",56,"NW","W",17,31,78,74,1013.6,1013.6,7,7,11.6,13.2,1,1
"127",2013-06-20,"winter","Sydney",8.7,16.6,1.4,2.8,7.2,"SSW",39,"W","SSW",26,20,71,57,1024.2,1021,3,6,9.9,15.6,1,0
"128",2011-02-14,"summer","Sydney",20.6,24.2,0.4,4,0.1,"SSE",41,"SE","SE",20,19,59,59,1023.6,1023.4,7,7,21.9,23.6,0,0
"129",2012-11-23,"spring","Sydney",15.7,22,0,5.4,5.2,"SSE",30,"E","ESE",13,17,59,55,1020.3,1018.5,7,7,18.7,20.5,0,0
"130",2013-09-04,"spring","Melbourne",14.2,23.9,0,4,4.9,"N",83,"N","N",54,33,48,41,1025.8,1022.4,5,7,20.2,23.3,0,0
"131",2010-08-08,"winter","Melbourne",5.7,14.6,0,3,9.8,"N",57,"N","NNE",39,33,64,62,1019.6,1016.9,2,4,8.9,13.4,0,0
"132",2013-05-28,"fall","Adelaide",9.7,18.6,0,1.6,8.9,"N",28,"NE","N",11,15,57,38,1026.3,1022.5,3,6,14,17.8,0,0
"133",2012-10-25,"spring","Melbourne",17.9,21.2,0,8.2,5.9,"WSW",63,"WNW","W",24,35,50,51,1005.9,1010.2,5,7,19.9,19.3,0,1
"134",2016-11-01,"spring","Melbourne",9.4,18.4,0.4,4.6,8.7,"NNW",35,"NW","WSW",11,11,53,45,1012,1009.8,2,7,13.8,17.8,0,0
"135",2016-04-24,"fall","Canberra",5.7,21.1,0,4.2,8.6,"ENE",30,"SW","E",6,20,64,50,1031.4,1029,7,6,12.6,19.1,0,0
"136",2012-03-22,"fall","Melbourne",11.4,20.8,10,4.4,9.5,"WSW",35,"WSW","SSE",13,15,67,36,1011.4,1007.6,1,7,13.4,20.1,1,0
"137",2010-09-26,"spring","Adelaide",7.3,18.2,0,8,7.8,"W",28,"N","W",9,15,64,50,1022.4,1018.2,8,7,13.2,17.1,0,0
"138",2009-07-11,"winter","Adelaide",12.1,17.4,13,8,2.7,"NNW",50,"N","NNW",24,26,68,69,1005.5,1004.3,6,3,14.9,17.2,1,1
"140",2013-07-29,"winter","Canberra",2.3,15.2,0,5.7,8.6,"NNW",35,"NNW","N",19,15,75,71,1025.4,1022.1,8,8,10.7,13.5,0,1
"141",2009-01-21,"summer","Canberra",16.7,34.1,21.2,11,12.1,"N",44,"N","WNW",4,22,71,27,1012,1008.2,1,1,22.3,32.7,1,0
"142",2012-05-30,"fall","Canberra",-3.1,14.7,0,1.6,6.4,"SSE",19,"SSE","SSW",15,4,95,46,1037,1032.9,8,8,3.3,14.4,0,0
"144",2014-06-12,"winter","Sydney",11.1,20.4,0,1,5.8,"W",30,"W","NNE",15,9,86,52,1022,1018.9,7,6,12.1,19.5,0,0
"145",2011-07-02,"winter","Adelaide",12.7,15.3,6,8,0,"NNE",37,"E","NNE",9,9,92,88,1014.4,1009.9,5,5,12.8,14.9,1,1
"146",2016-01-11,"summer","Sydney",20.5,31.6,0,9,12.1,"E",28,"ESE","E",7,15,69,52,1013.3,1009.1,1,1,24.5,31.1,0,0
"147",2016-04-16,"fall","Sydney",16.6,25.5,0,5,9.3,"SSE",28,"W","ENE",7,11,69,49,1021.2,1017.8,6,7,19.8,24.7,0,0
"149",2016-07-05,"winter","Sydney",7.5,18.8,4.8,0.6,5.8,"NW",46,"W","NW",11,17,90,55,1011.9,1006.1,8,2,9.6,17.7,1,0
"150",2016-08-21,"winter","Melbourne",9.5,14.8,1.2,2.4,0.8,"NNW",33,"N","NNW",11,9,80,72,1015.8,1012.8,7,7,11.6,13.9,1,1
"151",2011-08-30,"winter","Adelaide",5.6,15.1,0,2.8,6.6,"WSW",26,"NNW","SW",2,13,66,57,1027.8,1026,1,2,11.5,13.8,0,0
"152",2015-07-02,"winter","Canberra",-0.8,10.8,0,2.4,7.6,"NNW",48,"NW","WSW",13,28,85,44,1022,1018.9,4,2,4.7,10.4,0,0
"154",2016-07-12,"winter","Sydney",14.8,20.2,0.2,1.2,7.8,"NW",54,"WNW","NW",15,33,41,26,1010.3,1007.1,6,7,16.6,18.7,0,0
"155",2011-11-12,"spring","Sydney",19.3,24.7,0,9,8.1,"NNE",35,"NNE","E",20,17,64,56,1019.4,1015.1,5,1,21.2,23.4,0,0
"157",2008-12-27,"summer","Melbourne",16.8,27.2,0,6.4,9.4,"S",39,"NNW","S",20,20,58,64,1006.1,1003.3,4,6,22,21.3,0,0
"158",2015-07-19,"winter","Sydney",7.8,16.7,0.6,2,9,"W",33,"W","S",17,17,84,55,1032.6,1031.1,3,2,10.3,15.8,0,0
"159",2013-09-23,"spring","Canberra",1.8,23.4,0,8,5.7,"N",33,"NNW","NW",6,24,71,35,1012.8,1008.6,2,6,13.5,23.4,0,0
"160",2015-08-01,"winter","Sydney",9.4,22.3,0,3.4,9.2,"WNW",61,"NW","NW",15,28,54,28,1018.6,1015.6,6,6,14.3,20.7,0,0
"161",2015-08-25,"winter","Canberra",6.5,10.5,22.6,2.4,6.8,"S",54,"S","S",28,22,75,89,1019.4,1020.1,8,8,9.9,7.7,1,1
"162",2010-06-09,"winter","Canberra",3,7.7,0,1.6,0.7,"NNW",46,"N","NW",20,20,74,79,1012.7,1009.9,7,7,5.8,6,0,0
"163",2011-09-23,"spring","Melbourne",11.3,16.4,0,11,6.1,"WSW",65,"SW","SSE",24,20,47,44,1020.6,1021.8,3,7,13.2,14.7,0,0
"164",2011-02-17,"summer","Canberra",17.2,27.9,14.6,1.6,8.8,"NNW",35,"NE","NW",6,15,90,58,1013.6,1011,8,3,19,26.6,1,0
"165",2010-06-27,"winter","Canberra",-2.6,10.7,0,1,8,"SSE",26,"N","SSW",6,4,79,34,1023.1,1020.3,1,1,4.1,10.4,0,0
"166",2016-09-07,"spring","Canberra",2.7,19.1,0,4.2,8.6,"ENE",37,"S","N",7,11,77,50,1033,1029.4,8,1,11.8,18.2,0,0
"167",2016-11-16,"spring","Melbourne",11.9,21.6,0,3.4,9.3,"S",26,"S","S",4,13,81,62,1024.5,1022.7,7,1,14.1,18.5,0,0
"168",2015-09-06,"spring","Sydney",12.7,17.5,0.4,5.4,1,"ENE",24,"NNE","ENE",11,6,84,68,1024.9,1021.9,7,7,14.6,16,0,0
"170",2017-02-26,"summer","Sydney",18.3,25.5,28.6,5.8,5.3,"S",48,"SSE","SSW",15,24,67,54,1021.8,1021.8,6,3,20.7,24.3,1,1
"171",2010-11-21,"spring","Melbourne",11.9,22,0.2,5.2,10.3,"S",33,"S","SSE",13,17,75,57,1024.2,1021.2,7,7,15.1,21,0,0
"172",2014-06-06,"winter","Sydney",14.5,15.5,13.2,7.2,0.5,"S",48,"SSW","SSW",22,17,86,85,1026.3,1024.8,7,7,15.3,14.9,1,1
"173",2012-02-26,"summer","Adelaide",28.1,33.1,0,4.2,2.6,"N",48,"NNE","SW",15,15,25,37,1008.6,1008.8,3,1,30.7,30.7,0,0
"174",2017-01-25,"summer","Melbourne",13.5,21.1,0,10.6,13.3,"S",35,"SSE","SSW",13,17,54,55,1021.1,1018.7,5,1,17,20.1,0,0
"176",2010-06-27,"winter","Melbourne",6.1,12.9,8,0.2,6.6,"W",28,"W","SSW",15,9,86,66,1025.3,1022.6,3,6,6.8,11.4,1,0
"177",2011-01-13,"summer","Canberra",20,24.2,9.8,5,0.5,"E",43,"E","E",11,13,78,76,1014,1012.1,8,7,20.6,22.8,1,1
"178",2016-07-16,"winter","Canberra",-3,16.1,0.2,2.4,8.6,"N",17,"N","NNW",7,9,87,49,1034.7,1030.6,8,2,2.5,15.4,0,0
"179",2012-07-14,"winter","Adelaide",8.1,13.2,8,5.7,7.6,"WSW",44,"WSW","WSW",22,20,75,52,1013.1,1015.4,7,6,10.9,12.9,1,0
"180",2009-04-11,"fall","Melbourne",14.4,22.5,0,3.2,4.8,"S",28,"S","SSW",7,11,80,55,1024,1020.7,7,2,16,21.8,0,0
"181",2011-03-27,"fall","Adelaide",14,21.8,0,8,6.3,"SE",28,"E","NW",11,7,73,52,1027.5,1024.5,8,8,14.2,20.2,0,0
"182",2009-01-17,"summer","Canberra",7.9,25,0,14.6,13.3,"ENE",44,"SSE","SSE",19,9,37,12,1019.4,1017,1,1,13.2,23.1,0,0
"184",2017-02-14,"summer","Sydney",21.6,24,0,9,1.9,"SSE",44,"E","SSE",17,24,68,73,1015,1015.9,7,6,22.3,21.2,0,1
"185",2009-09-08,"spring","Melbourne",10.2,15.3,4.8,1,4.8,"SSW",57,"SW","SSW",28,35,82,80,1011.9,1012.2,7,7,12.3,12.7,1,0
"186",2014-11-29,"spring","Canberra",9.9,29.7,0,4.2,7.6,"E",37,"NW","NNW",7,24,61,24,1019.4,1013.8,5,4,17.4,29.3,0,0
"187",2016-12-21,"summer","Adelaide",13.1,26.9,0,5.7,8.6,"WSW",31,"SSE","WSW",7,19,50,42,1020,1017.5,8,1,18.8,24.8,0,0
"188",2008-09-11,"spring","Melbourne",9.3,18.9,0,5,5.7,"N",67,"N","N",46,39,32,24,1014.8,1009.9,4,7,14.5,17.3,0,0
